wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end,kernel,bandwidth,min_samples,ridge,coef_clip,anom_clip_scale,run_id,runtime_sec
2651.701318741879,2481.646108565613,5582.766066366073,38798.0,2481.646108565613,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,4,12,0.0001,6.0,2.0,1,94.59396490000654
2281.0901432850387,2285.3248773816076,4693.852381734612,38685.0,2285.3248773816076,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,4,12,0.0001,6.0,2.0,1,94.59396490000654
2004.142596041139,2004.142596041139,3909.1907696244475,38373.0,2004.142596041139,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,4,12,0.0001,6.0,2.0,1,94.59396490000654
1855.7334420132636,1829.0334956893491,3793.3272262926425,38530.0,1829.0334956893491,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,4,12,0.0001,6.0,2.0,1,94.59396490000654
2435.521646855001,2233.701834022985,4880.658055886749,38798.0,2233.701834022985,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,4,16,0.0001,6.0,2.0,2,45.67798350000521
2136.5590781448896,2143.464820557939,4371.976655223563,38685.0,2143.464820557939,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,4,16,0.0001,6.0,2.0,2,45.67798350000521
2033.6166952687925,2033.6166952687925,4379.008251541226,38373.0,2033.6166952687925,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,4,16,0.0001,6.0,2.0,2,45.67798350000521
1884.036781436895,1872.2512341326703,4159.681836010578,38530.0,1872.2512341326703,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,4,16,0.0001,6.0,2.0,2,45.67798350000521
2661.807071925523,2542.0224250862816,5428.11983087394,38798.0,2542.0224250862816,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,6,12,0.0001,6.0,2.0,3,95.12713539996184
2188.336572278003,2192.0458057792025,4474.886912171219,38685.0,2192.045805779203,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,6,12,0.0001,6.0,2.0,3,95.12713539996184
