run_id,kernel,bandwidth,min_samples,ridge,coef_clip,anom_clip_scale,mean_wmae,mean_mae,mean_rmse,mean_anom_mae,worst_fold_wmae,runtime_sec
11,exponential,8,12,0.0001,6.0,2.0,2027.9290082945104,1973.9238015640876,4067.0716647542713,1973.9238015640876,2446.9563705010896,98.2401225999929
12,exponential,8,16,0.0001,6.0,2.0,2027.9314861301114,1973.9270428765153,4067.0750671794713,1973.9270428765153,2446.956360123154,98.28624490002403
9,exponential,6,12,0.0001,6.0,2.0,2041.4272691368653,1987.7084398885816,4096.258612235554,1987.7084398885813,2458.4865021074543,102.00653140002396
10,exponential,6,16,0.0001,6.0,2.0,2041.4306121328118,1987.7126322568117,4096.265299100998,1987.7126322568117,2458.486407936983,100.05032859998755
7,exponential,4,12,0.0001,6.0,2.0,2066.3817466511914,2013.0201862277816,4151.514516395447,2013.0201862277813,2467.0132186530486,98.58605390001321
8,exponential,4,16,0.0001,6.0,2.0,2066.388446640978,2013.024598764169,4151.519269736649,2013.024598764169,2467.0128210786957,98.12359609996201
5,tricube,8,12,0.0001,6.0,2.0,2092.661233012232,2040.8209206275967,4197.464026720101,2040.8209206275963,2501.5089874405203,98.83396239997819
6,tricube,8,16,0.0001,6.0,2.0,2103.214757548226,2052.245675884071,4216.83036625556,2052.245675884071,2542.946432953224,96.73988000000827
2,tricube,4,16,0.0001,6.0,2.0,2122.4335504263945,2070.758645995597,4447.831199665529,2070.758645995597,2435.521646855001,45.67798350000521
4,tricube,6,16,0.0001,6.0,2.0,2139.646313564356,2088.3024056297772,4329.4134869193385,2088.3024056297772,2602.3921344574064,92.42670830001589
3,tricube,6,12,0.0001,6.0,2.0,2154.784909685195,2115.9299622355265,4346.9555987251715,2115.929962235527,2661.807071925523,95.12713539996184
1,tricube,4,12,0.0001,6.0,2.0,2198.16687502033,2150.036769419427,4494.784111004444,2150.036769419427,2651.701318741879,94.59396490000654
